,isFaculty,isStaff,isStudent,building,buildingKey,room,comfort,quarter,timestamp,activity,clothing
6822,FALSE,True,True,Kemper Hall,DV-01-001040,3083,Hot,fall2015,Mon Nov 02 2015 21:07:42 GMT-0800 (PST),,
6823,FALSE,True,True,Conference Center,DV-01-001761,Upstairs office space,Cold,fall2015,Mon Nov 02 2015 19:49:28 GMT-0800 (PST),,
6824,TRUE,False,False,Briggs Hall,DV-01-000681,270,Chilly,fall2015,Mon Nov 02 2015 19:37:38 GMT-0800 (PST),,
6825,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 21:37:35 GMT-0800 (PST),,
6826,FALSE,True,False,,,,,fall2015,Mon Nov 02 2015 21:13:53 GMT-0800 (PST),,
6827,FALSE,True,True,Ghausi Hall,DV-01-001212,1013,Perfect,fall2015,Mon Nov 02 2015 19:19:18 GMT-0800 (PST),,
6828,FALSE,True,False,University Services Building,DV-01-000982,"1st Floor, near restrooms",Perfect,fall2015,Mon Nov 02 2015 23:42:12 GMT-0800 (PST),,
6829,FALSE,True,False,Oscar W. Schalm Hall,DV-01-000824,173,Perfect,fall2015,Mon Nov 02 2015 19:52:59 GMT-0800 (PST),,
6830,FALSE,True,False,,,,,fall2015,Tue Nov 03 2015 01:01:33 GMT-0800 (PST),,
6831,FALSE,True,True,Wellman Hall,DV-01-000643,6,Warm,fall2015,Mon Nov 02 2015 19:18:30 GMT-0800 (PST),,
6832,FALSE,True,True,Surge 3,DV-01-000463,1342,Cold,fall2015,Tue Nov 03 2015 04:30:35 GMT-0800 (PST),,
6833,FALSE,False,False,Regan Paloma,DV-01-000353,206,Cold,fall2015,Wed Nov 04 2015 00:50:35 GMT-0800 (PST),,
6834,FALSE,True,False,Edward J. Wickson Hall,DV-01-000194,2019,Warm,fall2015,Tue Nov 03 2015 01:26:47 GMT-0800 (PST),,
6835,FALSE,False,False,Kearney Hall,DV-01-001570,423,Cold,fall2015,Wed Nov 04 2015 00:48:39 GMT-0800 (PST),,
6836,FALSE,True,False,,,,,fall2015,Mon Nov 02 2015 19:52:36 GMT-0800 (PST),,
6837,FALSE,False,False,Chemistry,DV-01-000453,176,Warm,fall2015,Wed Nov 04 2015 09:25:16 GMT-0800 (PST),,
6838,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:36:31 GMT-0800 (PST),,
6839,FALSE,False,True,,,,,fall2015,Mon Nov 02 2015 19:36:29 GMT-0800 (PST),,
6840,FALSE,True,False,,,,,fall2015,Tue Nov 03 2015 01:05:38 GMT-0800 (PST),,
6841,FALSE,False,False,Student Community Center,DV-01-001828,,Perfect,fall2015,Wed Nov 04 2015 10:12:40 GMT-0800 (PST),,
6842,FALSE,False,False,Kearney Hall,DV-01-001570,422,Cold,fall2015,Wed Nov 04 2015 09:29:30 GMT-0800 (PST),,
6843,FALSE,False,False,Bowley Plant Science Teaching Facility,DV-01-001226,10,Cold,fall2015,Wed Nov 04 2015 10:08:45 GMT-0800 (PST),,
6844,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 14:05:34 GMT-0800 (PST),,
6845,FALSE,False,False,Segundo Ryerson,DV-01-000279,,Chilly,fall2015,Wed Nov 04 2015 11:15:46 GMT-0800 (PST),,
6846,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 14:05:33 GMT-0800 (PST),,
6847,FALSE,False,False,Segundo Malcolm,DV-01-000204,207,Cold,fall2015,Wed Nov 04 2015 09:34:17 GMT-0800 (PST),,
6848,FALSE,False,False,Hart Hall,DV-01-000023,2416,Cold,fall2015,Wed Nov 04 2015 09:28:30 GMT-0800 (PST),,
6849,FALSE,False,False,Segundo Gilmore,DV-01-000202,,Cold,fall2015,Wed Nov 04 2015 14:13:29 GMT-0800 (PST),,
6850,FALSE,False,False,Segundo Gilmore,DV-01-000202,402,Cold,fall2015,Wed Nov 04 2015 14:05:56 GMT-0800 (PST),,
6851,FALSE,False,False,Segundo Bixby,DV-01-000203,411A,Cold,fall2015,Wed Nov 04 2015 14:18:59 GMT-0800 (PST),,
6852,FALSE,False,False,Segundo Gilmore,DV-01-000202,403,Cold,fall2015,Wed Nov 04 2015 14:43:52 GMT-0800 (PST),,
6853,FALSE,False,False,Plant & Environmental Sciences,DV-01-001239,2233,Chilly,fall2015,Wed Nov 04 2015 10:10:03 GMT-0800 (PST),,
6854,FALSE,False,False,Segundo Malcolm,DV-01-000204,205,Cold,fall2015,Wed Nov 04 2015 12:20:57 GMT-0800 (PST),,
6855,FALSE,False,False,Shields Library,DV-01-000056,90B,Chilly,fall2015,Wed Nov 04 2015 15:36:47 GMT-0800 (PST),,
